Journal_ID,Date,Account,Debit,Credit,Description
1,2025-01-02,Salaries Expense,15406,0,Journal entry 1 debit
1,2025-01-02,Accumulated Depreciation,0,15406,Journal entry 1 credit
2,2025-01-03,Salaries Expense,16005,0,Journal entry 2 debit
2,2025-01-03,Cash,0,16005,Journal entry 2 credit
3,2025-01-04,Inventory,6013,0,Journal entry 3 debit
3,2025-01-04,Unearned Revenue,0,6013,Journal entry 3 credit
4,2025-01-05,Equipment,25699,0,Journal entry 4 debit
4,2025-01-05,Accounts Payable,0,25699,Journal entry 4 credit
5,2025-01-06,Inventory,17156,0,Journal entry 5 debit
5,2025-01-06,Revenue,0,17156,Journal entry 5 credit
6,2025-01-07,Rent Expense,7633,0,Journal entry 6 debit
6,2025-01-07,Cash,0,7633,Journal entry 6 credit
7,2025-01-08,Salaries Expense,46833,0,Journal entry 7 debit
7,2025-01-08,Cash,0,46833,Journal entry 7 credit
8,2025-01-09,Cash,8426,0,Journal entry 8 debit
8,2025-01-09,Revenue,0,8426,Journal entry 8 credit
9,2025-01-10,Prepaid Expenses,39652,0,Journal entry 9 debit
9,2025-01-10,Capital,0,39652,Journal entry 9 credit
10,2025-01-11,Equipment,6227,0,Journal entry 10 debit
10,2025-01-11,Cash,0,6227,Journal entry 10 credit
11,2025-01-12,Inventory,38900,0,Journal entry 11 debit
11,2025-01-12,Unearned Revenue,0,38900,Journal entry 11 credit
12,2025-01-13,Inventory,44708,0,Journal entry 12 debit
12,2025-01-13,Cash,0,44708,Journal entry 12 credit
13,2025-01-14,Accounts Receivable,30676,0,Journal entry 13 debit
13,2025-01-14,Cash,0,30676,Journal entry 13 credit
14,2025-01-15,Salaries Expense,44614,0,Journal entry 14 debit
14,2025-01-15,Accumulated Depreciation,0,44614,Journal entry 14 credit
15,2025-01-16,Accounts Receivable,22247,0,Journal entry 15 debit
15,2025-01-16,Unearned Revenue,0,22247,Journal entry 15 credit
16,2025-01-17,Inventory,29036,0,Journal entry 16 debit
16,2025-01-17,Accumulated Depreciation,0,29036,Journal entry 16 credit
